candidate_id,lat,lon,n_cells_served,total_load_kw,avg_service_dist_m
5,33.37230284394941,-112.13764877602935,1,19026.5,0.0
6,33.3993569459062,-112.13800123519803,1,21993.2,0.0
7,33.45346478545283,-112.13870756760909,1,40595.6,0.0
8,33.507572138827456,-112.13941578941531,1,55062.0,0.0
9,33.53462563306961,-112.1397706103325,1,48194.1,0.0
10,33.561679005612156,-112.14012590538998,1,7077.8,0.0
12,33.37259418702772,-112.10540432125735,1,20072.8,0.0
13,33.399648586845856,-112.10574679568536,1,31032.2,0.0
14,33.4537570226587,-112.1064331185702,1,23202.3,0.0
15,33.53491876603818,-112.1074660466395,1,58398.4,0.0
16,33.56197243753307,-112.10781127664745,2,12551.1,1500.0
18,33.3728771569399,-112.0731594092439,1,38822.9,0.0
19,33.39993184606076,-112.0734918983556,1,36057.7,0.0
21,33.50814939121381,-112.07482630514279,1,38906.8,0.0
22,33.53520347441078,-112.07516102223344,1,30672.5,0.0
25,33.37315175329295,-112.04091405331607,1,21058.6,0.0
26,33.400206723157346,-112.04123655655256,1,37898.0,0.0
28,33.45431630010298,-112.04188285695402,1,28315.0,0.0
29,33.48137090708112,-112.04220665520657,1,43588.6,0.0
30,33.535479757791,-112.04285555054253,1,28479.1,0.0
31,33.56253400142022,-112.04318064872017,2,4868.0,1500.0
33,33.37341797570549,-112.00866826680213,1,13919.0,0.0
34,33.400473217753685,-112.00898078362128,1,19303.7,0.0
36,33.454583339563655,-112.0096070711329,1,38731.7,0.0
37,33.48163821922287,-112.0099208428793,1,53504.1,0.0
38,33.50869297798337,-112.0102350339905,1,27499.9,0.0
41,33.34662019760245,-111.97611993708149,3,15418.1,2414.0
42,33.40073132947946,-111.97672459290789,1,21370.0,0.0
44,33.48189712278203,-111.97763461118743,1,34299.3,0.0
48,33.37392529724158,-111.94417545533437,1,44161.9,0.0
49,33.40098105797605,-111.94446799775957,1,31065.2,0.0
53,33.56331309158543,-111.9462314824186,2,6495.7,1500.0
54,33.34711026819541,-111.9116462798229,1,11290.7,0.0
55,33.37416639566046,-111.9119284570424,1,36674.9,0.0
56,33.401222402896394,-111.91221101152453,1,49907.3,0.0
57,33.45533405647839,-111.9127772541777,1,33391.2,0.0
58,33.48238970272344,-111.9130609433017,1,37145.6,0.0
59,33.50944522853735,-111.91334501159426,1,36543.7,0.0
60,33.53650063386988,-111.91362945953426,1,20953.0,0.0
61,33.563555918670865,-111.91391428760163,1,4821.3,0.0
62,33.3473427534692,-111.87940887935316,1,15577.0,0.0
63,33.3743991187295,-111.87968108148802,1,33250.5,0.0
64,33.40145536390514,-111.87995364755203,1,47570.7,0.0
65,33.455567493800814,-111.88049987330157,1,4693.5,0.0
70,33.34756687162691,-111.84717111541171,1,10244.3,0.0
71,33.37462346612543,-111.84743334200456,1,26216.1,0.0
72,33.401679940678534,-111.84769591919225,1,22857.3,0.0
73,33.42873629523602,-111.84795884741622,1,24033.4,0.0
74,33.45579252974781,-111.84822212711886,5,7943.1,3249.0
81,33.53717781082823,-111.81670585293358,22,3761.1,7507.0
